_id,time,temperature,wind_speed,wind_direction,humidity,barometric_pressure,solar_radiation,precipitation
0,2019-01-01 00:59:59,3.1,0.65,64.0,50.0,949.0,0.0,0.0
1,2019-01-01 01:59:59,2.9,0.95,32.0,49.0,949.0,0.0,0.0
2,2019-01-01 02:59:59,3.1,0.87,62.0,46.0,949.0,0.0,0.0
3,2019-01-01 03:59:59,1.9,0.73,75.0,51.0,949.0,0.0,0.0
4,2019-01-01 04:59:59,0.7,0.57,53.0,56.0,949.0,0.0,0.0
5,2019-01-01 05:59:59,0.5,0.57,24.0,53.0,949.0,0.0,0.0
6,2019-01-01 06:59:59,0.0,0.8,345.0,55.0,949.0,0.0,0.0
7,2019-01-01 07:59:59,-0.8,0.85,78.0,60.0,949.0,0.0,0.0
8,2019-01-01 08:59:59,0.0,0.9,34.0,56.0,949.0,10.0,0.0
9,2019-01-01 09:59:59,2.2,0.73,84.0,48.0,950.0,99.0,0.0
10,2019-01-01 10:59:59,3.1,0.85,81.0,47.0,950.0,239.0,0.0
11,2019-01-01 11:59:59,5.5,1.02,83.0,39.0,950.0,362.0,0.0
12,2019-01-01 12:59:59,7.8,0.62,125.0,34.0,950.0,443.0,0.0
13,2019-01-01 13:59:59,10.1,0.45,337.0,31.0,949.0,460.0,0.0
14,2019-01-01 14:59:59,10.4,0.77,146.0,33.0,949.0,420.0,0.0
15,2019-01-01 15:59:59,11.9,0.35,160.0,30.0,949.0,320.0,0.0
16,2019-01-01 16:59:59,10.1,0.98,186.0,35.0,949.0,185.0,0.0
17,2019-01-01 17:59:59,8.5,0.47,186.0,38.0,949.0,38.0,0.0
18,2019-01-01 18:59:59,7.7,0.37,253.0,39.0,949.0,0.0,0.0
19,2019-01-01 19:59:59,7.1,0.43,253.0,43.0,949.0,0.0,0.0
20,2019-01-01 20:59:59,6.6,0.58,277.0,47.0,949.0,0.0,0.0
21,2019-01-01 21:59:59,5.8,0.38,69.0,49.0,949.0,0.0,0.0
22,2019-01-01 22:59:59,4.1,0.67,40.0,54.0,949.0,0.0,0.0
23,2019-01-01 23:59:59,3.4,0.18,333.0,55.0,949.0,0.0,0.0
24,2019-01-02 00:59:59,2.3,0.5,65.0,60.0,949.0,0.0,0.0
25,2019-01-02 01:59:59,1.8,0.95,54.0,61.0,949.0,0.0,0.0
26,2019-01-02 02:59:59,0.9,0.6,13.0,63.0,949.0,0.0,0.0
27,2019-01-02 03:59:59,-0.2,0.73,67.0,69.0,949.0,0.0,0.0
28,2019-01-02 04:59:59,-1.1,1.62,66.0,70.0,948.0,0.0,0.0
29,2019-01-02 05:59:59,-1.6,1.42,69.0,72.0,948.0,0.0,0.0
30,2019-01-02 06:59:59,-0.9,0.48,103.0,68.0,948.0,0.0,0.0
31,2019-01-02 07:59:59,-2.3,2.42,76.0,73.0,948.0,0.0,0.0
32,2019-01-02 08:59:59,-1.4,0.75,32.0,68.0,948.0,11.0,0.0
33,2019-01-02 09:59:59,0.1,1.35,67.0,61.0,948.0,103.0,0.0
34,2019-01-02 10:59:59,1.4,1.4,78.0,55.0,948.0,244.0,0.0
35,2019-01-02 11:59:59,4.2,0.98,73.0,46.0,948.0,366.0,0.0
36,2019-01-02 12:59:59,6.1,0.83,90.0,42.0,948.0,447.0,0.0
37,2019-01-02 13:59:59,9.1,0.47,14.0,33.0,947.0,465.0,0.0
38,2019-01-02 14:59:59,10.6,0.52,14.0,30.0,946.0,418.0,0.0
39,2019-01-02 15:59:59,11.7,0.5,234.0,30.0,946.0,312.0,0.0
40,2019-01-02 16:59:59,11.5,0.57,299.0,29.0,946.0,183.0,0.0
41,2019-01-02 17:59:59,9.9,0.8,263.0,32.0,946.0,40.0,0.0
42,2019-01-02 18:59:59,8.7,0.88,278.0,34.0,946.0,0.0,0.0
43,2019-01-02 19:59:59,8.2,0.53,24.0,36.0,947.0,0.0,0.0
44,2019-01-02 20:59:59,7.4,1.13,53.0,40.0,947.0,0.0,0.0
45,2019-01-02 21:59:59,5.4,2.02,80.0,43.0,947.0,0.0,0.0
46,2019-01-02 22:59:59,4.6,3.48,78.0,45.0,947.0,0.0,0.0
47,2019-01-02 23:59:59,3.9,2.82,62.0,48.0,947.0,0.0,0.0
48,2019-01-03 00:59:59,3.0,2.22,62.0,52.0,947.0,0.0,0.0
49,2019-01-03 01:59:59,2.8,2.53,68.0,52.0,947.0,0.0,0.0
50,2019-01-03 02:59:59,2.0,2.2,54.0,56.0,947.0,0.0,0.0
51,2019-01-03 03:59:59,2.0,2.43,48.0,53.0,947.0,0.0,0.0
52,2019-01-03 04:59:59,1.6,1.9,33.0,51.0,947.0,0.0,0.0
53,2019-01-03 05:59:59,0.6,2.18,57.0,56.0,947.0,0.0,0.0
54,2019-01-03 06:59:59,0.8,2.13,48.0,56.0,947.0,0.0,0.0
55,2019-01-03 07:59:59,0.6,2.17,12.0,51.0,947.0,0.0,0.0
56,2019-01-03 08:59:59,0.5,1.12,59.0,47.0,947.0,10.0,0.0
57,2019-01-03 09:59:59,1.8,1.23,65.0,48.0,948.0,101.0,0.0
58,2019-01-03 10:59:59,3.9,1.02,91.0,43.0,948.0,238.0,0.0
59,2019-01-03 11:59:59,6.1,0.93,84.0,38.0,948.0,362.0,0.0
60,2019-01-03 12:59:59,7.8,1.23,161.0,33.0,947.0,446.0,0.0
61,2019-01-03 13:59:59,8.3,1.33,125.0,32.0,947.0,469.0,0.0
62,2019-01-03 14:59:59,9.9,0.82,142.0,30.0,947.0,434.0,0.0
63,2019-01-03 15:59:59,9.7,1.12,146.0,29.0,947.0,350.0,0.0
64,2019-01-03 16:59:59,9.7,0.77,117.0,32.0,947.0,178.0,0.0
65,2019-01-03 17:59:59,8.6,0.43,36.0,34.0,947.0,22.0,0.0
66,2019-01-03 18:59:59,8.1,0.25,62.0,36.0,947.0,0.0,0.0
67,2019-01-03 19:59:59,7.4,0.5,79.0,37.0,947.0,0.0,0.0
